recordNumber,aircraftModel,Matched_Master_Model,confirmedSpeedKph,recordDate,MFR,TYPE-ACFT,FirstClassCount,EconomyCount,PilotCount
9490,PA-32R-300 Lance,,,1985-06-20,,,,,
9491,Malibu,,,1984-05-10,,,,,
9492,P210N,P210N,,1990-07-25,CESSNA,4,,,
9493,Lance,,,1985-05-31,,,,,
9494,PA-32R-300 Lance,,,1986-07-06,,,,,
9495,Lance,,,1985-05-31,,,,,
9496,Lance,,,1985-05-31,,,,,
9497,Bonanza S35,,,1967-06-19,,,,,
9498,Baron B55,,,1971-08-08,,,,,
9499,Baron B55,,,1971-08-09,,,,,
9500,Baron B55,,,1971-08-10,,,,,
9501,Baron B55,,,1971-08-08,,,,,
9502,Baron B55,,,1971-08-09,,,,,
9503,Aztec,,,1980-12-18,,,,,
9504,Aerostar 601P,,,2001-10-17,,,,,
9505,Aerostar 602P,,,2001-10-18,,,,,
9506,Aerostar 700P,,,1991-05-19,,,,,
9507,310,310,,1992-07-01,SCHRECK FBA,4,,,
9508,F33A,F33A,,1991-07-07,BEECH,4,,,
9509,310,310,,1992-06-15,SCHRECK FBA,4,,,
9510,Bonanza A36,,,1992-06-20,,,,,
9511,Bonanza A36,,,1993-06-27,,,,,
9512,Baron 58TC,,,1991-05-19,,,,,
9513,Baron 58,,,1994-02-01,,,,,
9514,Baron 58,,,1994-02-01,,,,,
9515,Baron 58,,,1994-02-01,,,,,
9516,Baron 58,,,1994-02-01,,,,,
9517,Baron 58,,,1994-02-01,,,,,
9518,Baron 58,,,1994-02-01,,,,,
9519,Baron 58,,,1994-02-01,,,,,
9520,FU 24-950,,,1978-09-10,,,,,
9521,T210 Centurion,,,1980-02-02,,,,,
9522,T210 Centurion,,,1980-12-03,,,,,
9523,Baron BE58,,,1983-12-17,,,,,
9524,310,310,,1992-06-28,SCHRECK FBA,4,,,
9525,PA-60,P-60,,1992-06-28,BEST AVIATION SERVICES LLC,2,,,
9526,310,310,,1992-06-28,SCHRECK FBA,4,,,
9527,310,310,,1992-06-30,SCHRECK FBA,4,,,
9528,PA-30 Twin Comanche,,,1969-06-13,,,,,
9529,Aerostar 601P,,,1985-06-23,,,,,
9530,Aerostar,,,1988-08-19,,,,,
9531,421C,421C,,1987-03-03,CESSNA,5,,,
9532,421B,421B,,1997-09-21,CESSNA,5,,,
9533,C414A Chancellor,,,1989-10-01,,,,,
9534,T-28C,T-28C,,1989-12-16,NORTH AMERICAN/PRIDE ACFT INC,4,,,
9535,421C,421C,,1987-03-25,CESSNA,5,,,
9536,421B,421B,,1997-09-19,CESSNA,5,,,
9537,340A,340A,,1984-10-02,CESSNA,5,,,
9538,Aerostar 601P,,,1992-04-29,,,,,
9539,Aerostar,,,1988-08-03,,,,,
9540,Aerostar 602P,,,1987-04-28,,,,,
9541,Aerostar 602P,,,1987-04-28,,,,,
9542,421C,421C,,1987-03-11,CESSNA,5,,,
9543,T-28A,T-28A,,1989-12-16,T-28A RESTORATIONS LLC,4,,,
9544,60 Duke,,,1973-10-23,,,,,
9545,PA-60-602P Aerostar,,,2000-06-07,,,,,
9546,Aerostar,,,1988-08-16,,,,,
9547,421B,421B,,1997-09-05,CESSNA,5,,,
9548,Aerostar,,,1988-11-06,,,,,
9549,Aerostar,,,1989-02-17,,,,,
9550,PA-31 Navajo Panther,,,1987-03-31,,,,,
9551,60 Duke,,,1973-10-23,,,,,
9552,PA-31P-350 Mojave,,,1995-12-30,,,,,
9553,421C,421C,,1987-03-06,CESSNA,5,,,
9554,Aerostar 601P,,,1992-04-29,,,,,
9555,Aerostar 601P,,,1985-06-30,,,,,
9556,Aerostar 601P,,,1985-07-01,,,,,
9557,Aerostar 601P,,,1985-06-18,,,,,
9558,Aerostar 601P,,,1985-06-30,,,,,
9559,Aerostar 601P,,,1985-06-30,,,,,
9560,Commander 685,,,1978-03-12,,,,,
9561,Aerostar,,,1988-08-20,,,,,
9562,Aerostar,,,1988-08-04,,,,,
9563,Aerostar 601P,,,1985-06-20,,,,,
9564,PA-60-602P Aerostar,,,1996-06-02,,,,,
9565,PA-31 Navajo Panther,,,1987-03-26,,,,,
